date,addition,deletion
1403395200,282,-64
1404000000,248,-214
1404604800,152,-54
1405209600,394,-277
1405814400,251,-97
1406419200,13827,-13613
1407024000,250,-184
1407628800,221,-876
1408233600,1,-115
1408838400,14,-2
1409443200,29,-18
1410048000,80,-23
1410652800,7,-1
1411257600,210,-73
1411862400,6,-12
1412467200,2,-8
1413072000,0,0
1413676800,81,-10
1414281600,0,0
1414886400,32,-2
1415491200,139,-7
1416096000,73,-20
1416700800,88,-30
1417305600,35,-3
1417910400,57,-14
1418515200,717,-677
1419120000,0,0
1419724800,89,-8
1420329600,0,0
1420934400,75,-5
1421539200,74,-50
1422144000,6,-1
1422748800,61,-61
1423353600,9,-6
1423958400,14,-5
1424563200,863,-740
1425168000,80,-15
1425772800,338,-102
1426377600,721,-412
1426982400,442,-614
1427587200,342,-254
1428192000,307,-170
1428796800,1175,-1495
1429401600,7617,-7385
1430006400,409,-312
1430611200,428,-255
1431216000,192,-136
1431820800,695,-302
1432425600,134,-25
1433030400,290,-85
1433635200,172,-157
1434240000,601,-364
1434844800,173,-53
1435449600,210,-209
1436054400,137,-14
1436659200,183,-85
1437264000,603,-1269
1437868800,224,-159
1438473600,273,-380
1439078400,393,-704
1439683200,46,-29
1440288000,1027,-746
1440892800,219,-169
1441497600,59,-35
1442102400,132,-65
1442707200,116,-46
1443312000,29,-9
1443916800,250,-147
1444521600,43,-42
1445126400,0,0
1445731200,127,-35
1446336000,342,-207
1446940800,58,-24
1447545600,31,-18
1448150400,6,-4
1448755200,19,-15
1449360000,15,-13
1449964800,12,-20
1450569600,0,0
1451174400,59,-5
1451779200,96,-33
1452384000,467,-287
1452988800,754,-679
1453593600,569,-249
1454198400,900,-585
1454803200,27,-4
1455408000,615,-286
1456012800,168,-48
1456617600,170,-94
1457222400,30,-23
1457827200,1,-1
1458432000,44,-37
1459036800,199,-71
1459641600,53,-17
1460246400,285,-85
1460851200,413,-31
1461456000,58,-24
1462060800,0,0
1462665600,55,-42
1463270400,107,-14
1463875200,116,-52
1464480000,5,0
1465084800,181,-25
1465689600,471,-198
1466294400,105,-30
1466899200,0,0
1467504000,45,-47
1468108800,119,-56
1468713600,45,-17
1469318400,32,-13
1469923200,17,-21
1470528000,11,-387
1471132800,16,-4
1471737600,10,-10
1472342400,0,0
1472947200,0,0
1473552000,0,0
1474156800,0,0
1474761600,0,0
1475366400,0,0
